printer_id,brand,model_name,series_name,variant_or_bundle_name,printer_technology,sku,ean_upc,release_date,discontinued,discontinued_date,firmware_family,firmware_open_source,official_product_url,official_store_url,amazon_url_us,amazon_url_ca,amazon_url_uk,other_retailer_urls,build_volume_x_mm,build_volume_y_mm,build_volume_z_mm,build_volume_shape,max_build_height_with_ams_mm,machine_width_mm,machine_depth_mm,machine_height_mm,machine_weight_kg,machine_style,frame_material,has_enclosure,enclosure_type,enclosure_heated,enclosure_max_temp_c,max_travel_speed_xy_mms,max_print_speed_mms,recommended_quality_speed_mms,max_acceleration_xy_mmss,max_acceleration_z_mmss,input_shaping_supported,linear_rails_on_axes,motion_system_notes,extruder_count,extruder_type,extruder_drive_type,filament_diameter_mm,max_nozzle_temp_c,sustained_nozzle_temp_c,hotend_type,hotend_brand_model,stock_nozzle_diameter_mm,supported_nozzle_diameters_mm,nozzle_material,max_flow_rate_mm3s,abrasive_filament_support,extruder_notes,bed_size_x_mm,bed_size_y_mm,bed_type,bed_heated,bed_max_temp_c,bed_heater_power_w,stock_plate_types,supported_plate_types,auto_bed_leveling,abl_technique,first_layer_assist_features,filter_type,internal_lighting,door_sensor,smoke_sensor,temperature_sensors,official_supported_materials,recommended_materials,abrasive_materials_supported,max_recommended_material_temp_c,materials_notes,multi_material_supported,native_multi_material_system,compatible_multi_material_systems,multi_material_max_spools,multi_material_spool_chamber_max_temp_c,multi_material_drying_capability,multi_material_limitations_notes,has_wifi,has_ethernet,has_bluetooth,has_usb_a_port,has_usb_c_port,has_sd_card,has_micro_sd_card,onboard_storage_gb,cloud_platforms,remote_monitoring_supported,remote_control_supported,screen_type,screen_size_inch,screen_resolution,control_knob,ui_language_options,assembly_required,average_assembly_time_min,maintenance_interval_hours,nozzle_change_ease,belt_tensioning_method,common_failure_points,recommended_upgrades,noise_level_printing_db,noise_level_idle_db,power_input_voltage,rated_power_w,typical_power_pla_w,typical_power_abs_w,power_supply_type,thermal_runaway_protection,power_loss_recovery,safety_certifications,safety_notes,msrp_usd,msrp_cad,msrp_eur,current_price_usd_store,current_price_usd_amazon,price_tier,target_user_segment,marketing_tags,rating_community_overall,rating_ease_of_use,rating_print_quality,rating_reliability,rating_value_for_money,review_count_aggregated,community_popularity_score,common_mods_tags,compatible_plate_types,default_plate_type,printer_profile_slug_in_slicers,data_source_urls,data_source_priority,data_quality_notes,last_verified_utc,auto_bed_leveling_method
bambu_lab_h2c,Bambu Lab,H2C,H Series,,FDM,,,2025-11-18,,,,FALSE,https://bambulab.com/en/h2c,https://us.store.bambulab.com/products/h2c,,,,,330,320,325,,,492.0,514,626,32.5,Enclosed,Steel,TRUE,,Yes,65.0,1000.0,,,20000,,,,,7,Multiple (6 induction hotends + 1 dedicated support),,1.75,350,,,,0.025,"0.2, 0.4, 0.6, 0.8",Hardened steel,40,,,,,,,120,,,,,,,G3 pre-filter; H12 HEPA; granulated coconut shell activated carbon filter,,Yes,,,,,,,,Yes,Yes,,,,,,TRUE,FALSE,FALSE,TRUE,,,FALSE,8,,,,touchscreen,5,720x1280,,,,,,,,,,~50dB,,,1800W (220V)/1250W (110V),,,,,Yes,,Fire-retardant construction (UL94 V-0 grade materials); Multi-sensor closed-loop temperature control,2399.0,,,,,,,,,,,,,,,,,,,,,,,
bambu_lab_h2d,Bambu Lab,H2D,H Series,,FDM,,,2025-03-25,,,,,https://bambulab.com/en/h2d,https://us.store.bambulab.com/products/h2d,,,,,300,320,325,,,,,,,Enclosed,"Aluminum, Steel",TRUE,,Yes,65.0,1000.0,600.0,,20000,,,,,2,Dual-Nozzle,,5.0,350,,,,5,,,,,,,,,,120,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,No,,"Flame-retardant chamber with active fire detection, Emergency stop with loud buzzer alert, Multi-sensor thermal control for fire prevention",1749.0,,,,,,,,,,,,,,,,,,,,,,,
bambu_lab_h2s,Bambu Lab,H2S,H Series,,FDM,,,2025-08-26,,,,,https://bambulab.com/en/h2s,https://us.store.bambulab.com/products/h2s,,,,,340,320,340,,,,1,,,Enclosed,Die-cast aluminum,TRUE,,Yes,65.0,1000.0,,,20000,,,,,,,,340.0,350,,,,340,,,,,,,,,,120,,,,,,,,,,,,,,,,,Yes,Yes (AMS 2 Pro),,,,,,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,<50,,,,,,,,No,,"5 flame sensors, Flame-retardant chamber construction, Emergency stop button",1249.0,,,,,,,,,,,,,,,,,,,,,,,
bambu_lab_x1c,Bambu Lab,X1 Carbon,X1 Series,,FDM,,,2022-08-10,,,,,https://bambulab.com/en/x1,,,,,,256,256,256,,,389.0,389,457,14.13,,Steel,TRUE,,,,,500.0,,20000,,,,,,direct drive,,1.75,300,,,,0.4,"0.2, 0.6, 0.8",Hardened Steel,32,Yes,,,,,,110,,,,,,,Activated carbon VOC filter,,Yes,,,,,,,,Yes,Yes (AMS),,,,,,TRUE,,,,,,TRUE,4,,,,touchscreen,5,,,,,,,,,,,,50 (silent mode),,,,,,,Yes,,,1410.0,,,,,,,,,,,,,,,,,,,,,,,
bambu_lab_x1e,Bambu Lab,X1E,X1 Series,,FDM,,,2023-01-01,,,,,https://bambulab.com/en/x1e,,,,,,256,256,256,,,389.0,389,457,16,,Steel,TRUE,,Yes,60.0,500.0,,,20000,,,,,,direct drive dual-gear,,0.0,320,,,,0,,,,,,,,,,110 (220V) / 120 (110V),,,,,,,G3 pre-filter; H12 HEPA; activated carbon filter,,,,,,"PPA-CF/GF, PPS, PPS-CF/GF",,,,Yes,Yes (AMS),,16,,,,TRUE,TRUE,FALSE,,,,FALSE,,,,,touchscreen,5,,,,,,,,,,,,,,750,,,,,No,,,2499.0,,,,,,,,,,,,,,,,,,,,,,,
bambu_lab_p1p,Bambu Lab,P1P,P Series,,FDM,,,2022-01-01,,,,,https://bambulab.com/en/p1p,https://us.store.bambulab.com/products/p1p,,,,,256,256,256,,,386.0,389,458,9.65,Open frame,,FALSE,,No,,,500.0,,20000,,,,,,All-metal hotend,,1.75,300,,,,0.4,,stainless steel,32,,,,,,,100,,,,TRUE,,,,,,,,,"PLA, PETG, TPU, PVA, PET",,,,Yes (with AMS),,,,,,,TRUE,FALSE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,699.0,,,,,,,,,,,,,,,,,,,,,,,
bambu_lab_p1s,Bambu Lab,P1S,P Series,,FDM,,,2023-01-01,,,,,https://us.store.bambulab.com/products/p1s,https://us.store.bambulab.com/products/p1s,,,,,256,256,256,,,389.0,389,457,12.95,Enclosed,,TRUE,,No,,,500.0,,20000,,,,,,direct-drive,,20000.0,300,,,,0.4,"0.2, 0.6, 0.8",Stainless steel,,,,,,,,100,,,,,,,Activated carbon filter,,,,,,,,,,Yes (AMS),,,,,,,TRUE,FALSE,TRUE,,,,FALSE,,,,,,2.7,,,,,,,,,,,,,,,,,,,Yes,,,699.0,,,399,,,,,,,,,,,,,,,,,,,,
bambu_lab_a1,Bambu Lab,A1,A Series,,FDM,,,2023-12-14,,,,,https://us.store.bambulab.com/products/a1,https://us.store.bambulab.com/products/a1,,,,,256,256,256,,,385.0,410,430,8.3,,,FALSE,,No,,,500.0,,10000,,,,,,direct drive,,,300,,,,0.4,,stainless steel,,,,,,,,100,,,,TRUE,,,,,,,,,,,,,Yes (with AMS Lite),Yes,,4,,,,FALSE,FALSE,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,No,,,399.0,,,279,,,,,,,,,,,,,,,,,,,,
bambu_lab_a1_mini,Bambu Lab,A1 Mini,A Series,,FDM,,,2023-09-20,,,,,https://bambulab.com/en/a1-mini/tech-specs,https://us.store.bambulab.com/products/a1-mini,,,,,180,180,180,,,347.0,315,365,5.5,,,FALSE,,No,,,500.0,,10000,,,,,,,,1.75,300,,,,0.4,"0.2, 0.6, 0.8",Stainless Steel,28,,,,,,,80,,,,,,,,,,,,,,,,,No,,,,,,,TRUE,FALSE,FALSE,,,,TRUE,,,,,IPS Touch Screen,2.4,320*240,,,,,,,,,,,,100-240 VAC,150,,,,,Yes,,,299.0,,,199,,,,,,,,,,,,,,,,,,,,
bambu_lab_p2s,Bambu Lab,P2S,P Series,,FDM,,,,,,,,,https://us.store.bambulab.com/products/p2s,,,,,256,256,256,,,,,,,,Steel,TRUE,,,,,500.0,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,Yes (with AMS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
