Material,Filament,Color,Product URL,Product Image URL,Color Hex
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Black,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#393D47
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Cold White,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#F8F8FF
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,White,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#FFFFFF
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Bone White,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#EFE1C8
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Beige,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#FFE2CB
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Grey,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#6F828E
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Light Grey,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#688197
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Silver,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#7E7E82
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Blue,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#1D57A5
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Light Blue,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#489FDF
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Sky Blue,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#63D0F9
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Dark Blue,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#3A4056
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Fire Engine Red,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#912F46
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Red,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#DB4437
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Pink,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#F65C87
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Barbie Pink,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#FD838E
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Purple,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#9E007E
PLA,eSUN PLA-Basic 1.75mm 3D Filament 1KG,Grape Purple,https://esun3dstore.com/products/epla,https://ueeshop.ly200-cdn.com/u_file/UPBB/UPBB609/2412/24/products/ef1458710c.jpg,#9949BE
