Material,Filament Name,Filament URL,Filament Color,Product Image,Hex Code
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Fire Red,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Flamingo Pink,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Grass Green,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Lava Orange,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Midnight Black,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Neon Glow,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Sapphire Blue,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Snow White,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Steel Gray,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Sun Yellow,,N/A
NinjaFlex 85A TPU,NinjaFlex 3D Printer Filament (85A),https://ninjatek.com/shop/ninjaflex/,Water Translucent,,N/A
Edge 83A TPU,NinjaFlex Edge 3D Printer Filament (83A),https://ninjatek.com/shop/edge/,Midnight Black,,N/A
Edge 83A TPU,NinjaFlex Edge 3D Printer Filament (83A),https://ninjatek.com/shop/edge/,Snow White,,N/A
Chinchilla 75A TPU,Chinchilla 3D Printer Filament (75A),https://ninjatek.com/shop/chinchilla/,Midnight Black,,N/A
Chinchilla 75A TPU,Chinchilla 3D Printer Filament (75A),https://ninjatek.com/shop/chinchilla/,Sky Blue,,N/A
Chinchilla 75A TPU,Chinchilla 3D Printer Filament (75A),https://ninjatek.com/shop/chinchilla/,Snow White,,N/A
Chinchilla 75A TPU,Chinchilla 3D Printer Filament (75A),https://ninjatek.com/shop/chinchilla/,Steel Gray,,N/A
Eel 90A (Conductive TPU),Eel 3D Printer Filament (90A),https://ninjatek.com/shop/eel/,1.75mm,,N/A
Eel 90A (Conductive TPU),Eel 3D Printer Filament (90A),https://ninjatek.com/shop/eel/,3mm,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Fire Red,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Flamingo Pink,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Grass Green,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Lava Orange,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Midnight Black,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Neon Glow,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Sapphire Blue,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Snow White,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Steel Gray,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Sun Yellow,,N/A
Cheetah 95A TPU,Cheetah 3D Printer Filament (95A),https://ninjatek.com/shop/cheetah/,Water Translucent,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Fire Red,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Grass Green,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Lava Orange,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Midnight Black,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Sapphire Blue,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Snow White,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Steel Gray,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Sun Yellow,,N/A
Armadillo 75D TPU,"Armadillo 3D Printer Filament (75D)Please Note: Armadillo will soon be discontinued, upon depletion of inventory.",https://ninjatek.com/shop/armadillo/,Water Translucent,,N/A
colorFabb ASA,colorFabb ASA 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-asa/,Black,,N/A
colorFabb ASA,colorFabb ASA 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-asa/,Natural,,N/A
colorFabb PA (Nylon),colorFabb PA 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-pa/,1.75mm,,N/A
colorFabb PA (Nylon),colorFabb PA 3D Printer Filaments,https://ninjatek.com/shop/colorfabb-pa/,2.85mm,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Black,,N/A
colorFabb PLA,colorFabb PLA 3D Printer Filament,https://ninjatek.com/shop/colorfabb-pla/,Dutch Orange,,N/A
