Filament Name,Filament Material,Filament Link,Filament Color,Filament Color Image Link,Filament Color Hex,Link to Filament TDS
"Filament Spectrum ReFill PLA Premium 1.75mm FOREST GREEN 1kg","PLA Premium","https://ca.spectrumfilaments.com/products/filament-spectrum-refill-pla-premium-1-75mm-forest-green-1kg","FOREST GREEN","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-ReFill-PLA-Premium-1-75mm-FOREST-GREEN-1kg-1827_1.jpg?v=1750854137",Not Available,Not Available
"Filament Spectrum ReFill PLA Premium 1.75mm DEEP BLACK 1kg","PLA Premium","https://ca.spectrumfilaments.com/products/filament-spectrum-refill-pla-premium-1-75mm-deep-black-1kg","DEEP BLACK","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-ReFill-PLA-Premium-1-75mm-DEEP-BLACK-1kg-1825_1.jpg?v=1750854202",Not Available,Not Available
"Filament Spectrum ReFill Pastello PLA 1.75mm BONBON ROSE 1kg","Pastello PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-refill-pastello-pla-1-75mm-bonbon-rose-1kg","BONBON ROSE","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-ReFill-Pastello-PLA-1-75mm-BONBON-ROSE-1kg-1872_1.jpg?v=1750854217",Not Available,Not Available
"Filament Spectrum ReFill Premium PLA High Speed 1.75mm NEON ORANGE UV 1kg","Premium PLA High Speed","https://ca.spectrumfilaments.com/products/filament-spectrum-refill-premium-pla-high-speed-1-75mm-neon-orange-uv-1kg","NEON ORANGE UV","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-ReFill-Premium-PLA-High-Speed-1-75mm-NEON-ORANGE-UV-1kg-1942_1.jpg?v=1750854233",Not Available,Not Available
"Spectrum 5PACK Material Mix 1.75mm (5x 0.25kg) #2","5PACK Material Mix","https://ca.spectrumfilaments.com/products/spectrum-5pack-material-mix-1-75mm-5x-0-25kg-2","(5x 0.25kg)","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-5PACK-Materials-Mix-2-1-75mm-5x-0-25kg-1535_1.jpg?v=1750854245",Not Available,Not Available
"Spectrum 5PACK Material Mix 1.75mm (5x 0.25kg) #1","5PACK Material Mix","https://ca.spectrumfilaments.com/products/spectrum-5pack-material-mix-1-75mm-5x-0-25kg-1","(5x 0.25kg)","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-5PACK-Materials-Mix-1-1-75mm-5x-0-25kg-1536_1.jpg?v=1750854258",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm TECHNICAL RED 1kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-technical-red-1kg","TECHNICAL RED","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-FlameGuard-PLA-1-75mm-TECHNICAL-RED-1kg-2628_3.jpg?v=1750854276",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm PERFORMANCE BLUE 1kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-performance-blue-1kg","PERFORMANCE BLUE","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-FlameGuard-PLA-1-75mm-PERFORMANCE-BLUE-1kg-2627_1.jpg?v=1750854294",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm LIGHT GREY 1kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-light-grey-1kg","LIGHT GREY","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-FlameGuard-PLA-1-75mm-LIGHT-GREY-1kg-2626_3.jpg?v=1750854438",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm INDUSTRIAL GREY 1kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-industrial-grey-1kg","INDUSTRIAL GREY","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-FlameGuard-PLA-1-75mm-INDUSTRIAL-GREY-1kg-2625_3.jpg?v=1750854376",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm POLAR WHITE 1kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-polar-white-1kg","POLAR WHITE","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/pi654-tifsce421-imgasp-attid-2018296_-1_-1_196225_9dc07b4a-0df5-4474-b51d-3a2b345f54dd.jpg?v=1750854454",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm MIDNIGHT BLACK 1kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-midnight-black-1kg","MIDNIGHT BLACK","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/pi654-tifsce420-imgasp-attid-2018294_-1_-1_338210.jpg?v=1750854466",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm POLAR WHITE 0.25kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-polar-white-0-25kg","POLAR WHITE","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-FlameGuard-PLA-1-75mm-POLAR-WHITE-0-25kg-2622_3.jpg?v=1750854500",Not Available,Not Available
"Filament Spectrum FlameGuard PLA 1.75mm MIDNIGHT BLACK 0.25kg","FlameGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-flameguard-pla-1-75mm-midnight-black-0-25kg","MIDNIGHT BLACK","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-FlameGuard-PLA-1-75mm-MIDNIGHT-BLACK-0-25kg-2582_3.jpg?v=1750854511",Not Available,Not Available
"Filament Spectrum SafeGuard PLA 1.75mm TRUE RED 1kg","SafeGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-safeguard-pla-1-75mm-true-red-1kg","TRUE RED","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-SafeGuard-PLA-1-75mm-TRUE-RED-1kg-2723_3.jpg?v=1750854526",Not Available,Not Available
"Filament Spectrum SafeGuard PLA 1.75mm DARK BLUE 1kg","SafeGuard PLA","https://ca.spectrumfilaments.com/products/filament-spectrum-safeguard-pla-1-75mm-dark-blue-1kg","DARK BLUE","https://cdn.shopify.com/s/files/1/0912/5042/6226/files/eng_pl_Filament-Spectrum-SafeGuard-PLA-1-75mm-DARK-BLUE-1kg-2722_3.jpg?v=1750854542",Not Available,Not Available
