Filament Name,Filament Material,Filament Link,Filament Color,Filament Color Image Link,Filament Color Hex,Link to Filament TDS
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Europe / Black 1KG*10Rolls / PLA,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Europe / Black 1KG*10Rolls / PLA-Meta,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Europe / Black 1KG*10Rolls / PLA-Matte,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Europe / Random Color 1KG*10Rolls (Maybe Repeated) / PLA,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_2.jpg?v=1740131077,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Europe / Random Color 1KG*10Rolls (Maybe Repeated) / PLA-Meta,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_2.jpg?v=1740131077,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Europe / Random Color 1KG*10Rolls (Maybe Repeated) / PLA-Matte,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_2.jpg?v=1740131077,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to Europe / Random Color 1KG*10Rolls (Maybe Repeated) / PLA+,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_2.jpg?v=1740131077,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to US / Black 1KG*10Rolls / PLA,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to US / Black 1KG*10Rolls / PLA-Meta,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
10KG PLA Recycled Filament PLA Series 3D Printer Filament 1KG/Roll,PLA,https://store.sunlu.com/products/over-10kg-bundle-sales-1-75mm-sunlu-recycled-filament-pla-petg-abs-3d-printer-filament-1kg-roll,Ship to US / Black 1KG*10Rolls / PLA-Matte,https://cdn.shopify.com/s/files/1/0152/6507/1190/files/plafilamentrecyclefilamentsunlueco_1.jpg?v=1740131076,Not Available,Not Available
