Filament Name,Filament Material,Filament Link,Filament Color,Filament Color Image Link,Filament Color Hex,Link to Filament TDS
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,OSSO,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,WHITE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,RED RACE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,BLACK HOLE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,NEPTUNE BLUE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,NATURAL,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,YELLOW TREED,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,YELLOW LEMON,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,VIOLET,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,ALLUMINIUM,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,BRONZE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,ANTHRACITE GREY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,GREEN ARMY,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,AQUAMARINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,ORANGE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,RED WINE,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,BROWN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,Industrial Grey,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,APPLE GREEN,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
PLA Ecogenius,PLA,https://treedfilaments.com/shop/product/?sku=PLAECO,Oxford green,https://dlh2hyjriy9yy.cloudfront.net/filaments/treedplaecogenius.png,Not Available,Not Available
